,DATE,PRCP,TMAX,TMIN,RAIN,Year,Month
24943,2016-04-16,0.0,67,44,False,16,04
24944,2016-04-17,0.0,80,48,False,16,04
24945,2016-04-18,0.0,89,54,False,16,04
24946,2016-04-19,0.0,84,56,False,16,04
24947,2016-04-20,0.0,81,53,False,16,04
24948,2016-04-21,0.0,72,51,False,16,04
24949,2016-04-22,0.0,62,52,False,16,04
24950,2016-04-23,0.01,64,51,True,16,04
24951,2016-04-24,0.3,55,46,True,16,04
24952,2016-04-25,0.11,59,44,True,16,04
24953,2016-04-26,0.0,59,43,False,16,04
24954,2016-04-27,0.0,63,48,False,16,04
24955,2016-04-28,0.0,63,50,False,16,04
24956,2016-04-29,0.01,61,48,True,16,04
24957,2016-04-30,0.0,67,45,False,16,04
24958,2016-05-01,0.0,79,50,False,16,05
24959,2016-05-02,0.0,87,54,False,16,05
24960,2016-05-03,0.0,72,56,False,16,05
24961,2016-05-04,0.0,60,52,False,16,05
24962,2016-05-05,0.0,68,48,False,16,05
24963,2016-05-06,0.0,77,50,False,16,05
24964,2016-05-07,0.0,82,52,False,16,05
24965,2016-05-08,0.03,66,48,True,16,05
24966,2016-05-09,0.0,67,46,False,16,05
24967,2016-05-10,0.0,75,47,False,16,05
24968,2016-05-11,0.0,80,52,False,16,05
24969,2016-05-12,0.0,76,49,False,16,05
24970,2016-05-13,0.0,84,50,False,16,05
24971,2016-05-14,0.02,58,53,True,16,05
24972,2016-05-15,0.02,56,52,True,16,05
24973,2016-05-16,0.06,59,50,True,16,05
24974,2016-05-17,0.0,69,51,False,16,05
24975,2016-05-18,0.0,65,51,False,16,05
24976,2016-05-19,0.5,63,48,True,16,05
24977,2016-05-20,0.0,66,49,False,16,05
24978,2016-05-21,0.21,58,50,True,16,05
24979,2016-05-22,0.0,66,52,False,16,05
24980,2016-05-23,0.0,66,53,False,16,05
24981,2016-05-24,0.0,66,55,False,16,05
24982,2016-05-25,0.0,65,53,False,16,05
24983,2016-05-26,0.0,62,51,False,16,05
24984,2016-05-27,0.0,64,49,False,16,05
24985,2016-05-28,0.1,62,49,True,16,05
24986,2016-05-29,0.0,64,52,False,16,05
24987,2016-05-30,0.0,72,48,False,16,05
24988,2016-05-31,0.0,80,52,False,16,05
24989,2016-06-01,0.04,74,55,True,16,06
24990,2016-06-02,0.01,70,58,True,16,06
24991,2016-06-03,0.0,82,56,False,16,06
24992,2016-06-04,0.0,85,62,False,16,06
24993,2016-06-05,0.0,93,64,False,16,06
24994,2016-06-06,0.0,88,62,False,16,06
24995,2016-06-07,0.0,84,59,False,16,06
24996,2016-06-08,0.01,67,55,True,16,06
24997,2016-06-09,0.13,64,51,True,16,06
24998,2016-06-10,0.18,65,49,True,16,06
24999,2016-06-11,0.0,67,50,False,16,06
25000,2016-06-12,0.0,70,53,False,16,06
25001,2016-06-13,0.0,65,49,False,16,06
25002,2016-06-14,0.02,60,47,True,16,06
25003,2016-06-15,0.0,66,44,False,16,06
25004,2016-06-16,0.0,70,51,False,16,06
25005,2016-06-17,0.14,69,50,True,16,06
25006,2016-06-18,0.0,66,52,False,16,06
25007,2016-06-19,0.0,72,48,False,16,06
25008,2016-06-20,0.55,75,55,True,16,06
25009,2016-06-21,0.0,71,54,False,16,06
25010,2016-06-22,0.0,75,55,False,16,06
25011,2016-06-23,0.35,68,53,True,16,06
25012,2016-06-24,0.34,69,52,True,16,06
25013,2016-06-25,0.0,72,56,False,16,06
25014,2016-06-26,0.0,80,56,False,16,06
25015,2016-06-27,0.0,85,58,False,16,06
25016,2016-06-28,0.0,76,54,False,16,06
25017,2016-06-29,0.0,72,55,False,16,06
25018,2016-06-30,0.0,73,55,False,16,06
25019,2016-07-01,0.0,75,55,False,16,07
25020,2016-07-02,0.0,75,57,False,16,07
25021,2016-07-03,0.0,71,56,False,16,07
25022,2016-07-04,0.0,69,56,False,16,07
25023,2016-07-05,0.0,67,55,False,16,07
25024,2016-07-06,0.01,76,56,True,16,07
25025,2016-07-07,0.12,68,58,True,16,07
25026,2016-07-08,0.24,72,58,True,16,07
25027,2016-07-09,0.01,71,56,True,16,07
25028,2016-07-10,0.0,73,56,False,16,07
25029,2016-07-11,0.0,73,57,False,16,07
25030,2016-07-12,0.0,76,59,False,16,07
25031,2016-07-13,0.0,74,57,False,16,07
25032,2016-07-14,0.0,76,57,False,16,07
25033,2016-07-15,0.0,76,56,False,16,07
25034,2016-07-16,0.0,73,57,False,16,07
25035,2016-07-17,0.0,79,58,False,16,07
25036,2016-07-18,0.01,71,60,True,16,07
25037,2016-07-19,0.0,77,60,False,16,07
25038,2016-07-20,0.0,80,60,False,16,07
25039,2016-07-21,0.0,84,58,False,16,07
25040,2016-07-22,0.33,73,59,True,16,07
25041,2016-07-23,0.0,73,58,False,16,07
25042,2016-07-24,0.0,81,58,False,16,07
25043,2016-07-25,0.0,86,59,False,16,07
25044,2016-07-26,0.0,78,59,False,16,07
25045,2016-07-27,0.0,84,56,False,16,07
25046,2016-07-28,0.0,88,61,False,16,07
25047,2016-07-29,0.0,89,62,False,16,07
25048,2016-07-30,0.0,75,57,False,16,07
25049,2016-07-31,0.0,72,56,False,16,07
25050,2016-08-01,0.0,77,53,False,16,08
25051,2016-08-02,0.13,71,57,True,16,08
25052,2016-08-03,0.0,76,58,False,16,08
25053,2016-08-04,0.0,82,56,False,16,08
25054,2016-08-05,0.0,79,57,False,16,08
25055,2016-08-06,0.0,71,54,False,16,08
25056,2016-08-07,0.03,69,57,True,16,08
25057,2016-08-08,0.0,73,56,False,16,08
25058,2016-08-09,0.0,71,58,False,16,08
25059,2016-08-10,0.0,76,58,False,16,08
25060,2016-08-11,0.0,81,58,False,16,08
25061,2016-08-12,0.0,90,63,False,16,08
25062,2016-08-13,0.0,91,64,False,16,08
25063,2016-08-14,0.0,85,57,False,16,08
25064,2016-08-15,0.0,83,57,False,16,08
25065,2016-08-16,0.0,83,56,False,16,08
25066,2016-08-17,0.0,80,56,False,16,08
25067,2016-08-18,0.0,87,60,False,16,08
25068,2016-08-19,0.0,95,69,False,16,08
25069,2016-08-20,0.0,91,62,False,16,08
25070,2016-08-21,0.0,73,57,False,16,08
25071,2016-08-22,0.0,72,55,False,16,08
25072,2016-08-23,0.0,80,54,False,16,08
25073,2016-08-24,0.0,85,58,False,16,08
25074,2016-08-25,0.0,91,61,False,16,08
25075,2016-08-26,0.0,92,64,False,16,08
25076,2016-08-27,0.0,73,58,False,16,08
25077,2016-08-28,0.0,70,55,False,16,08
25078,2016-08-29,0.0,79,53,False,16,08
25079,2016-08-30,0.0,71,56,False,16,08
25080,2016-08-31,0.01,69,58,True,16,08
25081,2016-09-01,0.17,66,56,True,16,09
25082,2016-09-02,0.05,69,55,True,16,09
25083,2016-09-03,0.0,69,54,False,16,09
25084,2016-09-04,0.0,70,51,False,16,09
25085,2016-09-05,0.01,64,54,True,16,09
25086,2016-09-06,0.42,65,55,True,16,09
25087,2016-09-07,0.04,66,57,True,16,09
25088,2016-09-08,0.03,70,55,True,16,09
25089,2016-09-09,0.0,73,50,False,16,09
25090,2016-09-10,0.0,77,54,False,16,09
25091,2016-09-11,0.0,70,55,False,16,09
25092,2016-09-12,0.0,75,54,False,16,09
25093,2016-09-13,0.0,77,51,False,16,09
25094,2016-09-14,0.0,78,51,False,16,09
25095,2016-09-15,0.0,72,52,False,16,09
25096,2016-09-16,0.0,74,52,False,16,09
25097,2016-09-17,0.22,67,57,True,16,09
25098,2016-09-18,0.0,68,54,False,16,09
25099,2016-09-19,0.08,68,53,True,16,09
25100,2016-09-20,0.0,67,49,False,16,09
25101,2016-09-21,0.0,68,52,False,16,09
25102,2016-09-22,0.0,65,49,False,16,09
25103,2016-09-23,0.01,63,53,True,16,09
25104,2016-09-24,0.0,66,53,False,16,09
25105,2016-09-25,0.0,76,58,False,16,09
25106,2016-09-26,0.0,77,53,False,16,09
25107,2016-09-27,0.02,69,54,True,16,09
25108,2016-09-28,0.0,67,52,False,16,09
25109,2016-09-29,0.0,66,47,False,16,09
25110,2016-09-30,0.0,65,46,False,16,09
25111,2016-10-01,0.05,63,50,True,16,10
25112,2016-10-02,0.0,63,50,False,16,10
25113,2016-10-03,0.0,60,49,False,16,10
25114,2016-10-04,0.13,60,52,True,16,10
25115,2016-10-05,0.04,65,52,True,16,10
25116,2016-10-06,0.31,62,53,True,16,10
25117,2016-10-07,0.11,63,53,True,16,10
25118,2016-10-08,0.61,65,52,True,16,10
25119,2016-10-09,0.06,56,48,True,16,10
25120,2016-10-10,0.0,60,45,False,16,10
25121,2016-10-11,0.0,62,43,False,16,10
25122,2016-10-12,0.01,66,43,True,16,10
25123,2016-10-13,1.75,59,51,True,16,10
25124,2016-10-14,1.36,57,50,True,16,10
25125,2016-10-15,0.73,62,50,True,16,10
25126,2016-10-16,0.56,60,50,True,16,10
25127,2016-10-17,0.17,59,50,True,16,10
25128,2016-10-18,0.08,58,49,True,16,10
25129,2016-10-19,0.22,58,45,True,16,10
25130,2016-10-20,1.19,60,50,True,16,10
25131,2016-10-21,0.02,57,48,True,16,10
25132,2016-10-22,0.05,62,44,True,16,10
25133,2016-10-23,0.12,62,49,True,16,10
25134,2016-10-24,0.1,63,51,True,16,10
25135,2016-10-25,0.0,63,50,False,16,10
25136,2016-10-26,1.23,58,52,True,16,10
25137,2016-10-27,0.04,58,52,True,16,10
25138,2016-10-28,0.0,67,50,False,16,10
25139,2016-10-29,0.19,60,48,True,16,10
25140,2016-10-30,0.26,52,44,True,16,10
25141,2016-10-31,0.66,57,49,True,16,10
25142,2016-11-01,0.22,56,50,True,16,11
25143,2016-11-02,0.46,56,51,True,16,11
25144,2016-11-03,0.0,65,48,False,16,11
25145,2016-11-04,0.0,63,42,False,16,11
25146,2016-11-05,1.31,60,51,True,16,11
25147,2016-11-06,0.12,60,48,True,16,11
25148,2016-11-07,0.04,66,50,True,16,11
25149,2016-11-08,0.0,70,49,False,16,11
25150,2016-11-09,0.24,64,51,True,16,11
25151,2016-11-10,0.0,62,45,False,16,11
25152,2016-11-11,0.0,61,52,False,16,11
25153,2016-11-12,0.1,58,48,True,16,11
25154,2016-11-13,0.24,54,47,True,16,11
25155,2016-11-14,0.31,57,50,True,16,11
25156,2016-11-15,1.08,54,46,True,16,11
25157,2016-11-16,0.2,50,43,True,16,11
25158,2016-11-17,0.0,51,41,False,16,11
25159,2016-11-18,0.0,54,39,False,16,11
25160,2016-11-19,0.04,57,48,True,16,11
25161,2016-11-20,0.01,57,47,True,16,11
25162,2016-11-21,0.02,53,44,True,16,11
25163,2016-11-22,0.45,53,43,True,16,11
25164,2016-11-23,0.13,48,42,True,16,11
25165,2016-11-24,0.66,51,46,True,16,11
25166,2016-11-25,0.01,52,41,True,16,11
25167,2016-11-26,0.38,51,43,True,16,11
25168,2016-11-27,0.32,47,42,True,16,11
25169,2016-11-28,0.0,50,40,False,16,11
25170,2016-11-29,0.04,51,41,True,16,11
25171,2016-11-30,0.1,50,43,True,16,11
25172,2016-12-01,0.01,46,40,True,16,12
25173,2016-12-02,0.27,49,44,True,16,12
25174,2016-12-03,0.18,48,44,True,16,12
